Time Period,B_State,Charge_R,Discharge_R,Grid_I,Grid_E
417,4911.36550401736,5169.85842528143,0.0,12432.9378072814,0.0
418,28238.8255300311,24555.2314197313,0.0,32277.0597557313,0.0
419,51566.2389011248,24555.2314197313,0.0,32053.3130757313,0.0
420,74893.6056173917,24555.2314197313,0.0,31614.6671497313,0.0
421,98220.9256789252,24555.2314197313,0.0,31534.2331397313,0.0
422,98220.9256789252,0.206780896160605,0.0,10694.8571308962,0.0
423,98220.7292370738,0.0,0.0,7423.169175,0.0
424,91470.848416668,0.0,6412.20016,0.0,0.0
425,84129.3957739185,0.0,6974.206216,0.0,0.0
426,58281.6154943572,0.0,24555.2314197313,0.0,16951.0835217313
427,32433.8869103565,0.0,24555.2314197313,0.0,15582.1439577313
428,25734.9264773195,0.0,6363.950787,0.0,0.0
429,18741.2786548349,0.0,6643.916535,0.0,0.0
430,13589.5632143829,0.0,4894.09406,0.0,0.0
431,6718.30746683541,0.0,6527.66714,0.0,0.0
432,0.0,0.0,6382.37932870946,992.548457290543,0.0
433,0.0,0.0,0.0,5762.668829,0.0
434,0.0,0.0,0.0,2290.667527,0.0
435,16727.5498569233,17607.947217814,0.0,21014.915306814,0.0
436,16727.5164018236,0.0,0.0,5304.613274,0.0
437,11299.2749141592,0.0,5156.797631,0.0,0.0
438,5658.85731139883,0.0,5358.375254,0.0,0.0
439,0.0,0.0,5375.903694,0.0,0.0
440,0.0,0.0,0.0,4548.406528,0.0
441,4911.36550401736,5169.85842528143,0.0,10439.1385612814,0.0
442,28238.8255300311,24555.2314197313,0.0,30011.2122667313,0.0
443,51566.2389011248,24555.2314197313,0.0,31490.4998617313,0.0
444,74893.6056173917,24555.2314197313,0.0,32008.7700497313,0.0
445,98220.9256789252,24555.2314197313,0.0,32991.5165877313,0.0
446,98220.9256789252,0.206780896160605,0.0,10121.0434708962,0.0
447,98220.9256789252,0.206780896160605,0.0,8452.14778089616,0.0
448,86754.612110758,0.0,10892.81127,0.0,0.0
449,77227.0457415338,0.0,9051.023217,0.0,0.0
450,58636.0855660402,0.0,17661.265435332,0.0,6154.99749533204
451,32788.3562730993,0.0,24555.2314197313,0.0,11627.0113797313
452,19231.6796753341,0.0,12878.78047,0.0,0.0
453,9672.3031793432,0.0,9081.371131,0.0,0.0
454,0.0,0.0,9188.669643,0.0,0.0
455,0.0,0.0,0.0,6510.717351,0.0
456,0.0,0.0,0.0,5856.25332,0.0
457,0.0,0.0,0.0,2098.600588,0.0
458,0.0,0.0,0.0,3134.213762,0.0
459,18713.0749625572,19697.973644797,0.0,24472.884602797,0.0
460,18713.0375364072,0.0,0.0,5974.003678,0.0
461,15024.2204977006,0.0,3504.340632,0.0,0.0
462,7356.73505662801,0.0,7284.082623,0.0,0.0
463,0.0,0.0,6988.884326,0.0,0.0
464,0.0,0.0,0.0,4528.144921,0.0
465,4911.36550401736,5169.85842528143,0.0,11426.6862572814,0.0
466,28238.8255300311,24555.2314197313,0.0,31077.3581707313,0.0
467,51566.2389011248,24555.2314197313,0.0,29956.1786057313,0.0
468,74893.6056173917,24555.2314197313,0.0,33865.8699267313,0.0
469,98220.9256789252,24555.2314197313,0.0,32518.6478507313,0.0
470,98220.9256789252,0.206780896160605,0.0,11152.6407308962,0.0
